,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,target
0,0,2,1,2,0,1,1,0,5,1,1,0,2,0,0,0,0,0,1,1,2,1,2,0,0,1,49,49,0,2,No
1,0,4,1,1,2,2,2,2,3,1,1,0,2,2,0,0,1,1,1,1,2,2,2,1,2,1,50,50,5,1,Yes
2,0,4,1,1,0,1,1,0,1,0,1,0,0,0,0,2,2,0,0,0,2,1,0,1,0,1,49,49,0,0,No
3,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,2,0,3,0,1,2,1,2,1,1,1,49,49,10,2,Yes
4,0,4,0,3,2,1,1,1,1,2,0,0,1,1,0,0,1,3,0,2,2,2,2,1,1,0,50,50,5,2,Yes
5,0,5,1,3,0,1,2,2,3,2,2,0,2,1,1,2,0,3,0,2,1,1,1,1,1,1,49,49,5,2,Yes
6,0,2,1,0,1,1,1,0,3,1,1,0,2,2,0,2,2,3,1,1,2,1,1,0,0,1,50,50,0,2,No
7,0,5,1,3,2,1,2,2,5,1,1,0,2,0,0,1,1,0,0,3,0,2,2,1,0,0,50,50,0,0,Yes
8,0,2,0,0,1,1,1,0,4,2,2,2,0,1,0,0,0,0,4,3,1,2,2,1,1,0,50,50,7,2,Yes
9,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,2,0,0,1,1,2,2,2,1,0,1,50,50,5,0,Yes
10,0,2,1,3,0,2,2,2,5,1,1,0,2,2,0,2,2,1,0,3,0,0,2,1,2,1,50,50,5,1,Yes
11,0,1,0,3,2,1,0,0,2,2,1,1,1,1,0,1,1,3,3,1,2,2,2,1,0,1,50,50,4,2,Yes
12,0,1,1,3,0,1,1,2,5,1,1,2,2,2,0,1,1,2,2,1,2,2,2,1,0,0,50,50,5,0,Yes
13,0,1,0,3,2,2,2,2,3,1,1,1,0,2,0,2,1,0,3,2,0,1,0,0,1,1,11,10,5,2,Maybe
14,0,1,1,3,2,1,0,2,5,1,1,2,2,1,0,1,1,2,2,1,2,2,2,1,0,1,50,50,1,0,Yes
15,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,3,1,50,50,4,2,Yes
16,0,2,1,2,1,1,1,0,4,0,1,0,0,1,0,2,1,4,1,2,2,2,2,1,0,0,11,10,5,0,Yes
17,0,3,1,1,1,1,1,0,0,0,1,2,0,1,0,1,1,0,0,0,0,1,1,0,0,1,49,49,0,1,No
18,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,1,1,4,4,3,2,0,2,1,2,0,50,50,7,0,Yes
19,0,1,0,0,1,1,1,0,0,2,1,1,1,2,0,2,1,3,3,1,2,2,2,1,0,1,50,50,5,2,Yes
20,0,4,1,1,0,1,1,0,5,1,1,0,2,0,0,0,1,3,3,0,0,2,0,0,2,1,50,50,0,2,No
21,0,5,0,3,1,2,0,0,3,1,1,0,2,0,0,1,1,0,0,1,2,1,1,0,0,1,50,50,8,1,No
22,0,2,1,3,2,1,1,0,5,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,2,1,22,21,0,2,No
23,0,0,1,3,2,1,1,0,2,0,1,0,0,0,0,1,1,3,0,3,0,2,2,1,0,1,11,10,0,2,No
24,1,2,1,3,0,1,1,0,3,0,1,0,2,0,0,0,0,0,1,1,2,1,1,0,0,1,50,50,10,2,No
25,0,1,0,3,2,0,2,2,5,1,1,0,0,2,0,0,0,0,1,0,1,1,1,0,1,1,22,21,0,1,No
26,0,2,0,1,1,1,1,0,4,2,2,1,1,1,0,1,0,3,3,0,2,0,2,1,2,1,34,33,0,2,Yes
27,0,1,1,0,1,1,1,0,2,1,1,1,1,0,0,0,1,3,3,0,1,1,1,1,0,1,22,21,0,1,Maybe
28,0,3,0,0,1,2,2,0,1,0,1,0,0,0,1,0,1,3,1,3,2,2,2,1,0,0,49,49,8,1,Maybe
29,0,4,1,2,0,1,1,2,3,1,1,2,2,2,0,1,1,3,3,3,0,2,2,1,0,2,49,49,1,1,Yes
